"","Blue","CloudMask","CloudMaskConfidence","Green","ImageDate","ImageName","Lake","NIR","Organization","Red","SWIR1","SWIR2","Sensor","StationID","Dataset"
"597",922,1,1,1440,1992-05-14,"LT50380321992135","Utah",869,"UTAHDWQ",1272,261,194,"LANDSAT/LT5_SR",4917770,"Estimated"
"598",1346,1,1,1883,1992-05-30,"LT50380321992151","Utah",924,"UTAHDWQ",1658,139,51,"LANDSAT/LT5_SR",4917310,"Estimated"
"599",1559,1,1,2029,1992-05-30,"LT50380321992151","Utah",1029,"UTAHDWQ",1861,232,191,"LANDSAT/LT5_SR",4917370,"Estimated"
"600",1273,1,1,1779,1992-05-30,"LT50380321992151","Utah",780,"UTAHDWQ",1514,92,51,"LANDSAT/LT5_SR",4917390,"Estimated"
"601",701,1,1,1024,1992-05-30,"LT50380321992151","Utah",1030,"UTAHDWQ",934,117,16,"LANDSAT/LT5_SR",4917450,"Estimated"
"602",1315,1,1,1844,1992-05-30,"LT50380321992151","Utah",821,"UTAHDWQ",1484,166,122,"LANDSAT/LT5_SR",4917500,"Estimated"
"603",1523,1,1,1954,1992-05-30,"LT50380321992151","Utah",1064,"UTAHDWQ",1800,163,87,"LANDSAT/LT5_SR",4917520,"Estimated"
"604",1189,0,1,1676,1992-05-30,"LT50380321992151","Utah",1773,"UTAHDWQ",1691,629,436,"LANDSAT/LT5_SR",4917600,"Estimated"
"605",864,1,1,1348,1992-05-30,"LT50380321992151","Utah",818,"UTAHDWQ",1166,139,87,"LANDSAT/LT5_SR",4917770,"Estimated"
"615",1140,1,1,1701,1992-07-17,"LT50380321992199","Utah",741,"UTAHDWQ",1403,81,57,"LANDSAT/LT5_SR",4917310,"Estimated"
"617",963,1,1,1523,1992-07-17,"LT50380321992199","Utah",495,"UTAHDWQ",1143,59,57,"LANDSAT/LT5_SR",4917390,"Estimated"
"618",702,0,1,995,1992-07-17,"LT50380321992199","Utah",1094,"UTAHDWQ",1001,84,22,"LANDSAT/LT5_SR",4917450,"Estimated"
"619",1096,1,1,1593,1992-07-17,"LT50380321992199","Utah",570,"UTAHDWQ",1260,85,59,"LANDSAT/LT5_SR",4917500,"Estimated"
"620",1314,1,1,1844,1992-07-17,"LT50380321992199","Utah",881,"UTAHDWQ",1576,127,126,"LANDSAT/LT5_SR",4917520,"Estimated"
"621",910,0,1,1206,1992-07-17,"LT50380321992199","Utah",1763,"UTAHDWQ",1316,2011,1504,"LANDSAT/LT5_SR",4917600,"Estimated"
"622",773,1,1,1277,1992-07-17,"LT50380321992199","Utah",919,"UTAHDWQ",1231,130,93,"LANDSAT/LT5_SR",4917770,"Estimated"
"623",1100,1,1,1619,1992-08-02,"LT50380321992215","Utah",990,"UTAHDWQ",1422,126,130,"LANDSAT/LT5_SR",4917310,"Estimated"
"625",733,1,1,1127,1992-08-02,"LT50380321992215","Utah",535,"UTAHDWQ",869,74,17,"LANDSAT/LT5_SR",4917390,"Estimated"
"627",982,1,1,1432,1992-08-02,"LT50380321992215","Utah",585,"UTAHDWQ",1241,106,57,"LANDSAT/LT5_SR",4917500,"Estimated"
"628",1382,0,1,1883,1992-08-02,"LT50380321992215","Utah",1140,"UTAHDWQ",1788,149,130,"LANDSAT/LT5_SR",4917520,"Estimated"
"629",1424,0,1,1726,1992-08-02,"LT50380321992215","Utah",2505,"UTAHDWQ",1986,3275,3041,"LANDSAT/LT5_SR",4917600,"Estimated"
"630",712,1,1,1088,1992-08-02,"LT50380321992215","Utah",875,"UTAHDWQ",1054,124,54,"LANDSAT/LT5_SR",4917770,"Estimated"
"631",1006,1,1,1585,1992-08-18,"LT50380321992231","Utah",920,"UTAHDWQ",1329,53,57,"LANDSAT/LT5_SR",4917310,"Estimated"
"633",772,1,1,1308,1992-08-18,"LT50380321992231","Utah",882,"UTAHDWQ",947,80,58,"LANDSAT/LT5_SR",4917390,"Estimated"
"635",673,1,1,1155,1992-08-18,"LT50380321992231","Utah",692,"UTAHDWQ",859,111,99,"LANDSAT/LT5_SR",4917500,"Estimated"
"637",1619,0,2,2008,1992-08-18,"LT50380321992231","Utah",2866,"UTAHDWQ",2207,3486,3268,"LANDSAT/LT5_SR",4917600,"Estimated"
"638",766,0,1,1109,1992-08-18,"LT50380321992231","Utah",1473,"UTAHDWQ",1073,287,135,"LANDSAT/LT5_SR",4917770,"Estimated"
"647",1324,0,1,1799,1992-09-19,"LT50380321992263","Utah",1532,"UTAHDWQ",1747,125,66,"LANDSAT/LT5_SR",4917310,"Estimated"
"648",1038,1,1,1575,1992-09-19,"LT50380321992263","Utah",961,"UTAHDWQ",1352,155,24,"LANDSAT/LT5_SR",4917370,"Estimated"
"649",888,1,1,1398,1992-09-19,"LT50380321992263","Utah",701,"UTAHDWQ",1174,70,112,"LANDSAT/LT5_SR",4917390,"Estimated"
"650",723,0,1,919,1992-09-19,"LT50380321992263","Utah",1093,"UTAHDWQ",929,102,27,"LANDSAT/LT5_SR",4917450,"Estimated"
"652",1326,0,1,1839,1992-09-19,"LT50380321992263","Utah",1399,"UTAHDWQ",1744,68,67,"LANDSAT/LT5_SR",4917520,"Estimated"
"653",1286,0,1,1704,1992-09-19,"LT50380321992263","Utah",2734,"UTAHDWQ",1879,3124,2929,"LANDSAT/LT5_SR",4917600,"Estimated"
"654",911,0,1,1134,1992-09-19,"LT50380321992263","Utah",1700,"UTAHDWQ",1174,1744,1240,"LANDSAT/LT5_SR",4917770,"Estimated"
"655",905,1,1,1515,1992-10-05,"LT50380321992279","Utah",752,"UTAHDWQ",1221,166,72,"LANDSAT/LT5_SR",4917310,"Estimated"
"656",995,1,1,1514,1992-10-05,"LT50380321992279","Utah",664,"UTAHDWQ",1223,76,74,"LANDSAT/LT5_SR",4917370,"Estimated"
"657",1031,1,1,1512,1992-10-05,"LT50380321992279","Utah",717,"UTAHDWQ",1262,142,123,"LANDSAT/LT5_SR",4917390,"Estimated"
"658",796,0,1,1034,1992-10-05,"LT50380321992279","Utah",1182,"UTAHDWQ",1032,112,77,"LANDSAT/LT5_SR",4917450,"Estimated"
"660",1070,1,1,1658,1992-10-05,"LT50380321992279","Utah",759,"UTAHDWQ",1378,77,75,"LANDSAT/LT5_SR",4917520,"Estimated"
"661",1652,0,1,2077,1992-10-05,"LT50380321992279","Utah",2977,"UTAHDWQ",2327,3573,3342,"LANDSAT/LT5_SR",4917600,"Estimated"
"662",1031,0,1,1321,1992-10-05,"LT50380321992279","Utah",1694,"UTAHDWQ",1300,1600,1152,"LANDSAT/LT5_SR",4917770,"Estimated"
"671",1589,1,1,2090,1993-05-01,"LT50380321993121","Utah",836,"UTAHDWQ",1915,83,47,"LANDSAT/LT5_SR",4917310,"Estimated"
"672",1648,1,1,2162,1993-05-01,"LT50380321993121","Utah",801,"UTAHDWQ",1973,61,85,"LANDSAT/LT5_SR",4917370,"Estimated"
"673",1269,1,1,1763,1993-05-01,"LT50380321993121","Utah",628,"UTAHDWQ",1470,96,52,"LANDSAT/LT5_SR",4917390,"Estimated"
"674",850,1,1,1121,1993-05-01,"LT50380321993121","Utah",664,"UTAHDWQ",1073,120,52,"LANDSAT/LT5_SR",4917450,"Estimated"
"675",1125,1,1,1578,1993-05-01,"LT50380321993121","Utah",482,"UTAHDWQ",1199,121,53,"LANDSAT/LT5_SR",4917500,"Estimated"
"676",1511,1,1,2085,1993-05-01,"LT50380321993121","Utah",688,"UTAHDWQ",1692,61,48,"LANDSAT/LT5_SR",4917520,"Estimated"
"677",853,1,1,1351,1993-05-01,"LT50380321993121","Utah",589,"UTAHDWQ",1136,119,51,"LANDSAT/LT5_SR",4917600,"Estimated"
"678",873,1,1,1274,1993-05-01,"LT50380321993121","Utah",813,"UTAHDWQ",1197,97,53,"LANDSAT/LT5_SR",4917770,"Estimated"
"679",1512,1,1,1961,1993-05-17,"LT50380321993137","Utah",555,"UTAHDWQ",1568,81,10,"LANDSAT/LT5_SR",4917310,"Estimated"
"680",1569,1,1,1934,1993-05-17,"LT50380321993137","Utah",514,"UTAHDWQ",1588,26,54,"LANDSAT/LT5_SR",4917370,"Estimated"
"681",1146,1,1,1544,1993-05-17,"LT50380321993137","Utah",390,"UTAHDWQ",1177,90,50,"LANDSAT/LT5_SR",4917390,"Estimated"
"682",672,1,1,1030,1993-05-17,"LT50380321993137","Utah",649,"UTAHDWQ",1031,92,51,"LANDSAT/LT5_SR",4917450,"Estimated"
"683",1292,1,1,1721,1993-05-17,"LT50380321993137","Utah",413,"UTAHDWQ",1358,77,19,"LANDSAT/LT5_SR",4917500,"Estimated"
"684",1515,1,1,1942,1993-05-17,"LT50380321993137","Utah",541,"UTAHDWQ",1533,93,87,"LANDSAT/LT5_SR",4917520,"Estimated"
"685",773,1,1,1259,1993-05-17,"LT50380321993137","Utah",552,"UTAHDWQ",1011,122,89,"LANDSAT/LT5_SR",4917600,"Estimated"
"686",514,1,1,916,1993-05-17,"LT50380321993137","Utah",463,"UTAHDWQ",790,90,15,"LANDSAT/LT5_SR",4917770,"Estimated"
"687",1579,1,1,2069,1993-06-02,"LT50380321993153","Utah",675,"UTAHDWQ",1666,90,84,"LANDSAT/LT5_SR",4917310,"Estimated"
"689",1649,1,1,2099,1993-06-02,"LT50380321993153","Utah",823,"UTAHDWQ",1867,211,225,"LANDSAT/LT5_SR",4917390,"Estimated"
"690",663,1,1,1094,1993-06-02,"LT50380321993153","Utah",715,"UTAHDWQ",1023,140,120,"LANDSAT/LT5_SR",4917450,"Estimated"
"692",1846,1,1,2391,1993-06-02,"LT50380321993153","Utah",964,"UTAHDWQ",1987,185,85,"LANDSAT/LT5_SR",4917520,"Estimated"
"694",897,1,1,1419,1993-06-02,"LT50380321993153","Utah",786,"UTAHDWQ",1256,139,85,"LANDSAT/LT5_SR",4917770,"Estimated"
"695",1394,1,1,1778,1993-06-18,"LT50380321993169","Utah",639,"UTAHDWQ",1456,113,85,"LANDSAT/LT5_SR",4917310,"Estimated"
"696",1466,1,1,1922,1993-06-18,"LT50380321993169","Utah",531,"UTAHDWQ",1485,65,86,"LANDSAT/LT5_SR",4917370,"Estimated"
"697",1364,1,1,1767,1993-06-18,"LT50380321993169","Utah",548,"UTAHDWQ",1482,99,54,"LANDSAT/LT5_SR",4917390,"Estimated"
"698",791,1,1,1129,1993-06-18,"LT50380321993169","Utah",792,"UTAHDWQ",964,260,264,"LANDSAT/LT5_SR",4917450,"Estimated"
"699",1385,1,1,1872,1993-06-18,"LT50380321993169","Utah",586,"UTAHDWQ",1454,76,54,"LANDSAT/LT5_SR",4917500,"Estimated"
"700",1412,1,1,1885,1993-06-18,"LT50380321993169","Utah",677,"UTAHDWQ",1573,161,192,"LANDSAT/LT5_SR",4917520,"Estimated"
"701",1125,1,1,1557,1993-06-18,"LT50380321993169","Utah",693,"UTAHDWQ",1340,77,55,"LANDSAT/LT5_SR",4917600,"Estimated"
"702",873,1,1,1274,1993-06-18,"LT50380321993169","Utah",654,"UTAHDWQ",1054,215,159,"LANDSAT/LT5_SR",4917770,"Estimated"
"703",902,1,1,1433,1993-07-20,"LT50380321993201","Utah",602,"UTAHDWQ",1066,153,128,"LANDSAT/LT5_SR",4917310,"Estimated"
"704",1226,1,1,1712,1993-07-20,"LT50380321993201","Utah",677,"UTAHDWQ",1383,156,129,"LANDSAT/LT5_SR",4917370,"Estimated"
"705",1063,1,1,1539,1993-07-20,"LT50380321993201","Utah",567,"UTAHDWQ",1152,177,128,"LANDSAT/LT5_SR",4917390,"Estimated"
"706",661,1,1,1007,1993-07-20,"LT50380321993201","Utah",745,"UTAHDWQ",866,108,128,"LANDSAT/LT5_SR",4917450,"Estimated"
"707",1179,1,1,1679,1993-07-20,"LT50380321993201","Utah",643,"UTAHDWQ",1327,180,93,"LANDSAT/LT5_SR",4917500,"Estimated"
"708",1379,1,1,1867,1993-07-20,"LT50380321993201","Utah",987,"UTAHDWQ",1649,243,233,"LANDSAT/LT5_SR",4917520,"Estimated"
"709",883,1,1,1364,1993-07-20,"LT50380321993201","Utah",1026,"UTAHDWQ",1241,110,59,"LANDSAT/LT5_SR",4917600,"Estimated"
"710",904,1,1,1397,1993-07-20,"LT50380321993201","Utah",638,"UTAHDWQ",1125,129,92,"LANDSAT/LT5_SR",4917770,"Estimated"
"711",1019,1,1,1517,1993-08-05,"LT50380321993217","Utah",510,"UTAHDWQ",1188,55,56,"LANDSAT/LT5_SR",4917310,"Estimated"
"712",1237,1,1,1658,1993-08-05,"LT50380321993217","Utah",603,"UTAHDWQ",1487,39,24,"LANDSAT/LT5_SR",4917370,"Estimated"
"713",939,1,1,1405,1993-08-05,"LT50380321993217","Utah",393,"UTAHDWQ",1064,27,56,"LANDSAT/LT5_SR",4917390,"Estimated"
"714",614,1,1,957,1993-08-05,"LT50380321993217","Utah",593,"UTAHDWQ",856,58,58,"LANDSAT/LT5_SR",4917450,"Estimated"
"715",1116,1,1,1553,1993-08-05,"LT50380321993217","Utah",419,"UTAHDWQ",1164,39,61,"LANDSAT/LT5_SR",4917500,"Estimated"
"716",1283,1,1,1742,1993-08-05,"LT50380321993217","Utah",738,"UTAHDWQ",1523,55,56,"LANDSAT/LT5_SR",4917520,"Estimated"
"717",826,1,1,1299,1993-08-05,"LT50380321993217","Utah",677,"UTAHDWQ",1075,65,61,"LANDSAT/LT5_SR",4917600,"Estimated"
"718",663,1,1,1143,1993-08-05,"LT50380321993217","Utah",475,"UTAHDWQ",884,56,20,"LANDSAT/LT5_SR",4917770,"Estimated"
"719",998,1,1,1571,1993-08-21,"LT50380321993233","Utah",874,"UTAHDWQ",1247,129,95,"LANDSAT/LT5_SR",4917310,"Estimated"
"720",1386,1,1,1878,1993-08-21,"LT50380321993233","Utah",1036,"UTAHDWQ",1723,110,98,"LANDSAT/LT5_SR",4917370,"Estimated"
"721",1223,1,1,1650,1993-08-21,"LT50380321993233","Utah",758,"UTAHDWQ",1473,130,134,"LANDSAT/LT5_SR",4917390,"Estimated"
"722",865,1,1,1170,1993-08-21,"LT50380321993233","Utah",995,"UTAHDWQ",1151,106,135,"LANDSAT/LT5_SR",4917450,"Estimated"
"723",1279,1,1,1714,1993-08-21,"LT50380321993233","Utah",621,"UTAHDWQ",1405,67,63,"LANDSAT/LT5_SR",4917500,"Estimated"
"724",1404,1,1,1887,1993-08-21,"LT50380321993233","Utah",995,"UTAHDWQ",1761,105,96,"LANDSAT/LT5_SR",4917520,"Estimated"
"725",986,1,1,1373,1993-08-21,"LT50380321993233","Utah",889,"UTAHDWQ",1220,68,64,"LANDSAT/LT5_SR",4917600,"Estimated"
"726",1065,1,1,1529,1993-08-21,"LT50380321993233","Utah",839,"UTAHDWQ",1376,106,96,"LANDSAT/LT5_SR",4917770,"Estimated"
"735",687,1,1,1147,1993-09-22,"LT50380321993265","Utah",526,"UTAHDWQ",759,43,69,"LANDSAT/LT5_SR",4917310,"Estimated"
"736",1180,1,1,1585,1993-09-22,"LT50380321993265","Utah",488,"UTAHDWQ",1186,46,27,"LANDSAT/LT5_SR",4917370,"Estimated"
"737",1047,1,1,1499,1993-09-22,"LT50380321993265","Utah",529,"UTAHDWQ",1186,16,27,"LANDSAT/LT5_SR",4917390,"Estimated"
"738",538,1,1,885,1993-09-22,"LT50380321993265","Utah",658,"UTAHDWQ",726,45,70,"LANDSAT/LT5_SR",4917450,"Estimated"
"739",1126,1,1,1585,1993-09-22,"LT50380321993265","Utah",494,"UTAHDWQ",1188,77,71,"LANDSAT/LT5_SR",4917500,"Estimated"
"740",954,1,1,1411,1993-09-22,"LT50380321993265","Utah",570,"UTAHDWQ",1079,43,26,"LANDSAT/LT5_SR",4917520,"Estimated"
"741",773,1,1,1196,1993-09-22,"LT50380321993265","Utah",747,"UTAHDWQ",978,75,28,"LANDSAT/LT5_SR",4917600,"Estimated"
"742",805,1,1,1192,1993-09-22,"LT50380321993265","Utah",486,"UTAHDWQ",939,73,27,"LANDSAT/LT5_SR",4917770,"Estimated"
"743",1002,1,1,1433,1993-10-24,"LT50380321993297","Utah",405,"UTAHDWQ",1109,94,35,"LANDSAT/LT5_SR",4917310,"Estimated"
"744",1202,1,1,1594,1993-10-24,"LT50380321993297","Utah",412,"UTAHDWQ",1241,26,37,"LANDSAT/LT5_SR",4917370,"Estimated"
"745",1011,1,1,1380,1993-10-24,"LT50380321993297","Utah",359,"UTAHDWQ",1068,62,37,"LANDSAT/LT5_SR",4917390,"Estimated"
"746",681,1,1,1054,1993-10-24,"LT50380321993297","Utah",570,"UTAHDWQ",980,62,37,"LANDSAT/LT5_SR",4917450,"Estimated"
"747",1040,1,1,1488,1993-10-24,"LT50380321993297","Utah",359,"UTAHDWQ",1024,62,91,"LANDSAT/LT5_SR",4917500,"Estimated"
"748",952,1,1,1379,1993-10-24,"LT50380321993297","Utah",302,"UTAHDWQ",936,61,37,"LANDSAT/LT5_SR",4917520,"Estimated"
"754",484,1,1,828,1994-05-04,"LT50380321994124","Utah",334,"UTAHDWQ",649,71,15,"LANDSAT/LT5_SR",4917450,"Estimated"
"755",1521,1,1,1821,1994-05-04,"LT50380321994124","Utah",354,"UTAHDWQ",1151,104,56,"LANDSAT/LT5_SR",4917500,"Estimated"
"758",1041,1,1,1485,1994-05-04,"LT50380321994124","Utah",294,"UTAHDWQ",1052,46,52,"LANDSAT/LT5_SR",4917770,"Estimated"
"760",1678,1,1,2008,1994-05-20,"LT50380321994140","Utah",586,"UTAHDWQ",1733,77,90,"LANDSAT/LT5_SR",4917370,"Estimated"
"761",1449,1,1,1808,1994-05-20,"LT50380321994140","Utah",428,"UTAHDWQ",1508,21,16,"LANDSAT/LT5_SR",4917390,"Estimated"
"762",548,1,1,892,1994-05-20,"LT50380321994140","Utah",357,"UTAHDWQ",769,22,51,"LANDSAT/LT5_SR",4917450,"Estimated"
"763",1630,1,1,1977,1994-05-20,"LT50380321994140","Utah",514,"UTAHDWQ",1650,53,19,"LANDSAT/LT5_SR",4917500,"Estimated"
"764",1539,1,1,1960,1994-05-20,"LT50380321994140","Utah",493,"UTAHDWQ",1599,18,14,"LANDSAT/LT5_SR",4917520,"Estimated"
"765",1239,1,1,1696,1994-05-20,"LT50380321994140","Utah",544,"UTAHDWQ",1391,97,88,"LANDSAT/LT5_SR",4917600,"Estimated"
"766",1137,1,1,1553,1994-05-20,"LT50380321994140","Utah",426,"UTAHDWQ",1272,44,15,"LANDSAT/LT5_SR",4917770,"Estimated"
"769",1085,1,1,1523,1994-07-07,"LT50380321994188","Utah",468,"UTAHDWQ",1145,62,23,"LANDSAT/LT5_SR",4917310,"Estimated"
"770",1222,1,1,1698,1994-07-07,"LT50380321994188","Utah",572,"UTAHDWQ",1315,131,94,"LANDSAT/LT5_SR",4917370,"Estimated"
"771",1082,1,1,1489,1994-07-07,"LT50380321994188","Utah",428,"UTAHDWQ",1144,60,22,"LANDSAT/LT5_SR",4917390,"Estimated"
"772",575,0,1,961,1994-07-07,"LT50380321994188","Utah",818,"UTAHDWQ",686,38,58,"LANDSAT/LT5_SR",4917450,"Estimated"
"773",1088,1,1,1523,1994-07-07,"LT50380321994188","Utah",470,"UTAHDWQ",1117,63,58,"LANDSAT/LT5_SR",4917500,"Estimated"
"774",1344,1,1,1802,1994-07-07,"LT50380321994188","Utah",538,"UTAHDWQ",1458,86,58,"LANDSAT/LT5_SR",4917520,"Estimated"
"775",694,1,1,1211,1994-07-07,"LT50380321994188","Utah",750,"UTAHDWQ",890,62,58,"LANDSAT/LT5_SR",4917600,"Estimated"
"776",979,1,1,1418,1994-07-07,"LT50380321994188","Utah",537,"UTAHDWQ",1144,61,23,"LANDSAT/LT5_SR",4917770,"Estimated"
"781",1088,1,1,1531,1994-07-23,"LT50380321994204","Utah",447,"UTAHDWQ",1146,62,60,"LANDSAT/LT5_SR",4917500,"Estimated"
"783",800,1,1,1206,1994-07-23,"LT50380321994204","Utah",777,"UTAHDWQ",1028,87,60,"LANDSAT/LT5_SR",4917600,"Estimated"
"789",923,1,1,1407,1994-08-08,"LT50380321994220","Utah",922,"UTAHDWQ",1011,218,174,"LANDSAT/LT5_SR",4917500,"Estimated"
"793",264,0,1,606,1994-08-24,"LT50380321994236","Utah",826,"UTAHDWQ",379,64,63,"LANDSAT/LT5_SR",4917310,"Estimated"
"794",911,1,1,1355,1994-08-24,"LT50380321994236","Utah",677,"UTAHDWQ",1054,18,26,"LANDSAT/LT5_SR",4917370,"Estimated"
"795",565,1,1,1042,1994-08-24,"LT50380321994236","Utah",592,"UTAHDWQ",670,65,24,"LANDSAT/LT5_SR",4917390,"Estimated"
"796",648,1,1,1043,1994-08-24,"LT50380321994236","Utah",905,"UTAHDWQ",957,41,24,"LANDSAT/LT5_SR",4917450,"Estimated"
"797",512,1,1,933,1994-08-24,"LT50380321994236","Utah",368,"UTAHDWQ",586,44,65,"LANDSAT/LT5_SR",4917500,"Estimated"
"798",831,1,1,1355,1994-08-24,"LT50380321994236","Utah",942,"UTAHDWQ",1048,62,62,"LANDSAT/LT5_SR",4917520,"Estimated"
"799",489,0,1,971,1994-08-24,"LT50380321994236","Utah",1563,"UTAHDWQ",741,69,65,"LANDSAT/LT5_SR",4917600,"Estimated"
"800",668,1,1,1081,1994-08-24,"LT50380321994236","Utah",905,"UTAHDWQ",957,14,64,"LANDSAT/LT5_SR",4917770,"Estimated"
"801",861,1,1,1426,1994-09-09,"LT50380321994252","Utah",876,"UTAHDWQ",1162,67,65,"LANDSAT/LT5_SR",4917310,"Estimated"
"802",758,1,1,1260,1994-09-09,"LT50380321994252","Utah",718,"UTAHDWQ",931,74,28,"LANDSAT/LT5_SR",4917370,"Estimated"
"803",785,1,1,1300,1994-09-09,"LT50380321994252","Utah",630,"UTAHDWQ",960,43,67,"LANDSAT/LT5_SR",4917390,"Estimated"
"805",820,1,1,1342,1994-09-09,"LT50380321994252","Utah",636,"UTAHDWQ",965,101,28,"LANDSAT/LT5_SR",4917500,"Estimated"
"806",1031,0,1,1510,1994-09-09,"LT50380321994252","Utah",1166,"UTAHDWQ",1298,67,108,"LANDSAT/LT5_SR",4917520,"Estimated"
"807",864,0,1,1263,1994-09-09,"LT50380321994252","Utah",1574,"UTAHDWQ",1232,72,27,"LANDSAT/LT5_SR",4917600,"Estimated"
"808",887,1,1,1299,1994-09-09,"LT50380321994252","Utah",794,"UTAHDWQ",1196,15,66,"LANDSAT/LT5_SR",4917770,"Estimated"
"809",670,1,1,1114,1994-09-25,"LT50380321994268","Utah",506,"UTAHDWQ",833,77,29,"LANDSAT/LT5_SR",4917310,"Estimated"
"810",943,1,1,1385,1994-09-25,"LT50380321994268","Utah",552,"UTAHDWQ",1125,20,73,"LANDSAT/LT5_SR",4917370,"Estimated"
"812",789,1,1,1116,1994-09-25,"LT50380321994268","Utah",641,"UTAHDWQ",1017,21,30,"LANDSAT/LT5_SR",4917450,"Estimated"
"813",817,1,1,1297,1994-09-25,"LT50380321994268","Utah",466,"UTAHDWQ",945,22,30,"LANDSAT/LT5_SR",4917500,"Estimated"
"815",772,1,1,1163,1994-09-25,"LT50380321994268","Utah",903,"UTAHDWQ",981,50,30,"LANDSAT/LT5_SR",4917600,"Estimated"
"816",721,1,1,1160,1994-09-25,"LT50380321994268","Utah",684,"UTAHDWQ",980,21,74,"LANDSAT/LT5_SR",4917770,"Estimated"
"817",1063,1,1,1514,1994-10-11,"LT50380321994284","Utah",713,"UTAHDWQ",1178,18,31,"LANDSAT/LT5_SR",4917310,"Estimated"
"818",1148,1,1,1562,1994-10-11,"LT50380321994284","Utah",570,"UTAHDWQ",1180,55,132,"LANDSAT/LT5_SR",4917370,"Estimated"
"819",929,1,1,1363,1994-10-11,"LT50380321994284","Utah",525,"UTAHDWQ",1020,57,83,"LANDSAT/LT5_SR",4917390,"Estimated"
"820",975,1,1,1313,1994-10-11,"LT50380321994284","Utah",1110,"UTAHDWQ",1421,121,33,"LANDSAT/LT5_SR",4917450,"Estimated"
"821",1129,1,1,1611,1994-10-11,"LT50380321994284","Utah",672,"UTAHDWQ",1301,57,34,"LANDSAT/LT5_SR",4917500,"Estimated"
"822",1013,1,1,1615,1994-10-11,"LT50380321994284","Utah",664,"UTAHDWQ",1178,51,31,"LANDSAT/LT5_SR",4917520,"Estimated"
"823",806,0,1,1316,1994-10-11,"LT50380321994284","Utah",1160,"UTAHDWQ",1061,87,132,"LANDSAT/LT5_SR",4917600,"Estimated"
"824",795,1,1,1261,1994-10-11,"LT50380321994284","Utah",619,"UTAHDWQ",1018,21,33,"LANDSAT/LT5_SR",4917770,"Estimated"
"833",1144,1,1,1611,1995-06-24,"LT50380321995175","Utah",309,"UTAHDWQ",1121,78,55,"LANDSAT/LT5_SR",4917310,"Estimated"
"834",1436,1,1,1743,1995-06-24,"LT50380321995175","Utah",366,"UTAHDWQ",1357,39,59,"LANDSAT/LT5_SR",4917370,"Estimated"
"837",1475,1,1,1851,1995-06-24,"LT50380321995175","Utah",332,"UTAHDWQ",1444,63,23,"LANDSAT/LT5_SR",4917500,"Estimated"
"838",1416,1,1,1825,1995-06-24,"LT50380321995175","Utah",423,"UTAHDWQ",1504,56,92,"LANDSAT/LT5_SR",4917520,"Estimated"
"839",1058,1,1,1536,1995-06-24,"LT50380321995175","Utah",403,"UTAHDWQ",1243,63,24,"LANDSAT/LT5_SR",4917600,"Estimated"
"844",1131,0,1,1466,1995-07-10,"LT50380321995191","Utah",1331,"UTAHDWQ",1478,283,317,"LANDSAT/LT5_SR",4917450,"Estimated"
"845",1567,1,1,2050,1995-07-10,"LT50380321995191","Utah",666,"UTAHDWQ",1657,109,133,"LANDSAT/LT5_SR",4917500,"Estimated"
"846",1568,1,1,2081,1995-07-10,"LT50380321995191","Utah",682,"UTAHDWQ",1703,44,15,"LANDSAT/LT5_SR",4917520,"Estimated"
"848",1330,1,1,1829,1995-07-10,"LT50380321995191","Utah",852,"UTAHDWQ",1655,233,244,"LANDSAT/LT5_SR",4917770,"Estimated"
"849",556,1,1,952,1995-07-26,"LT50380321995207","Utah",270,"UTAHDWQ",612,65,24,"LANDSAT/LT5_SR",4917310,"Estimated"
"851",559,1,1,917,1995-07-26,"LT50380321995207","Utah",235,"UTAHDWQ",584,90,24,"LANDSAT/LT5_SR",4917390,"Estimated"
"852",446,1,1,694,1995-07-26,"LT50380321995207","Utah",344,"UTAHDWQ",643,41,24,"LANDSAT/LT5_SR",4917450,"Estimated"
"853",731,1,1,1103,1995-07-26,"LT50380321995207","Utah",273,"UTAHDWQ",645,90,24,"LANDSAT/LT5_SR",4917500,"Estimated"
"854",786,1,1,1209,1995-07-26,"LT50380321995207","Utah",335,"UTAHDWQ",787,85,97,"LANDSAT/LT5_SR",4917520,"Estimated"
"855",878,1,1,1360,1995-07-26,"LT50380321995207","Utah",997,"UTAHDWQ",1184,89,135,"LANDSAT/LT5_SR",4917600,"Estimated"
"856",484,1,1,916,1995-07-26,"LT50380321995207","Utah",344,"UTAHDWQ",704,17,24,"LANDSAT/LT5_SR",4917770,"Estimated"
"857",935,1,1,1469,1995-08-11,"LT50380321995223","Utah",422,"UTAHDWQ",1041,85,59,"LANDSAT/LT5_SR",4917310,"Estimated"
"858",944,1,1,1547,1995-08-11,"LT50380321995223","Utah",588,"UTAHDWQ",1141,140,61,"LANDSAT/LT5_SR",4917370,"Estimated"
"859",786,1,1,1231,1995-08-11,"LT50380321995223","Utah",469,"UTAHDWQ",916,9,61,"LANDSAT/LT5_SR",4917390,"Estimated"
"860",657,1,1,1029,1995-08-11,"LT50380321995223","Utah",783,"UTAHDWQ",913,138,100,"LANDSAT/LT5_SR",4917450,"Estimated"
"861",1043,1,1,1504,1995-08-11,"LT50380321995223","Utah",447,"UTAHDWQ",1115,70,65,"LANDSAT/LT5_SR",4917500,"Estimated"
